Time,cum_max,count
22:04:12,15,16
22:04:13,17,16
22:04:14,19,15
22:04:16,19,14
22:04:17,21,16
22:04:18,21,14
22:04:20,21,14
22:04:21,21,13
22:04:22,22,14
22:04:23,24,18
22:04:24,24,14
22:04:25,26,15
22:04:26,27,14
22:04:27,27,14
22:04:29,27,13
22:04:30,30,16
22:04:31,31,16
22:04:32,32,19
22:04:34,32,18
22:04:35,33,17
22:04:36,35,16
22:04:37,37,16
22:04:38,37,14
22:04:40,37,12
22:04:41,39,14
22:04:42,41,18
22:04:43,42,17
22:04:44,42,13
22:04:45,42,14
22:04:47,44,17
22:04:48,44,14
22:04:49,44,17
22:04:50,44,14
22:04:52,45,14
22:04:53,46,13
22:04:54,47,15
22:04:55,49,13
22:04:57,50,15
22:04:58,50,14
22:04:59,51,12
22:05:00,51,13
22:05:01,53,12
22:05:02,53,11
22:05:04,55,12
22:05:05,56,11
22:05:06,57,13
22:05:07,57,10
22:05:09,60,13
22:05:10,61,13
22:05:11,62,12
22:05:12,62,11
22:05:14,64,12
22:05:15,65,13
22:05:16,67,14
22:05:17,67,14
22:05:18,69,14
22:05:20,70,13
22:05:21,70,12
22:05:22,71,12
22:05:23,73,15
22:05:25,73,14
22:05:26,76,16
22:05:27,77,17
22:05:28,79,14
22:05:29,79,14
22:05:31,79,10
22:05:32,79,7
22:05:33,81,8
22:05:34,83,11
22:05:35,87,11
22:05:36,88,8
22:05:37,91,8
22:05:39,93,10
22:05:40,95,14
22:05:41,99,16
22:05:42,100,13
22:05:44,101,14
22:05:45,101,15
22:05:46,101,14
22:05:47,101,12
22:05:48,101,12
22:05:49,101,10
22:05:50,103,12
22:05:51,103,11
22:05:53,104,10
22:05:54,105,11
22:05:55,105,12
22:05:56,106,12
22:05:58,106,12
22:05:59,106,11
22:06:00,107,12
22:06:01,108,12
22:06:02,109,12
22:06:04,109,11
22:06:05,109,11
22:06:06,109,11
22:06:07,110,12
22:06:09,111,12
22:06:10,112,10
22:06:11,112,10
22:06:12,112,9
22:06:13,115,13
22:06:14,115,12
22:06:15,116,13
22:06:17,116,11
22:06:18,116,12
22:06:19,117,10
22:06:20,120,12
22:06:22,121,11
